Poll,Date,Sample,Biden,Sanders,Spread
,,,,,
,,,,,
ABC News/Wash PostABC/WP,3/22 - 3/25,388 RV,55,39,Biden +16
,,,,,
Economist/YouGovYouGov,3/22 - 3/24,547 LV,57,39,Biden +18
,,,,,
Reuters/IpsosReuters,3/18 - 3/24,1981 RV,53,34,Biden +19
,,,,,
Morning ConsultM. Consult,3/16 - 3/22,16180 LV,60,36,Biden +24
,,,,,
EmersonEmerson,3/18 - 3/19,519 RV,54,42,Biden +12
,,,,,
Economist/YouGovYouGov,3/15 - 3/17,551 LV,57,36,Biden +21
,,,,,
Reuters/IpsosReuters,3/13 - 3/16,458 RV,48,39,Biden +9
,,,,,
The Hill/HarrisXThe Hill,3/14 - 3/15,894 RV,55,31,Biden +24
,,,,,
Politico/Morning ConsultPolitico,3/11 - 3/15,8869 LV,58,37,Biden +21
,,,,,
NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,438 LV,61,32,Biden +29
,,,,,
Politico/Morning ConsultPolitico,3/11 - 3/11,2072 LV,59,35,Biden +24
,,,,,
Economist/YouGovYouGov,3/8 - 3/10,573 RV,53,38,Biden +15
,,,,,
The Hill/HarrisXThe Hill,3/8 - 3/9,442 RV,55,28,Biden +27
,,,,,
Reuters/IpsosReuters,3/6 - 3/9,420 RV,54,33,Biden +21
,,,,,
QuinnipiacQuinnipiac,3/5 - 3/8,559 RV,54,35,Biden +19
,,,,,
Politico/Morning ConsultPolitico,3/5 - 3/8,9593 RV,56,38,Biden +18
,,,,,
CNNCNN,3/4 - 3/7,540 RV,52,36,Biden +16
,,,,,
Politico/Morning ConsultPolitico,3/5 - 3/5,1390 LV,54,38,Biden +16
,,,,,
Reuters/IpsosReuters,3/4 - 3/5,474 RV,45,32,Biden +13
